"","CASE_NBR","CREATED","CLOSED","STATUS","TYPE","DESCRIPTION","address","LAT","LON"
"133",31425523,"2/12/2016 9:20:42 AM","","Open","Traffic Sign Complaints","Traffic Signal Complaints","5750 HAZEL AVE, Sacramento, CA, 95662",38.670145,-121.225671
"134",31425584,"2/12/2016 10:04:51 AM","","Open","Graffiti","Graffiti Public Right of Way","5034 SUNRISE BLVD, Sacramento, CA, 95628",38.643437,-121.268207
"135",31425856,"2/12/2016 1:59:44 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","3747 LENORE WAY, Sacramento, CA, 95660",38.657484,-121.377413
"136",31425872,"2/12/2016 2:12:07 PM","","Open","Illegal Dumping","Illegal dumping - 108687","2590 ELVERTA RD, Sacramento, CA, 95626",38.71428,-121.402014
"137",31425921,"2/12/2016 2:46:22 PM","","Open","Traffic Sign Complaints","Street Light Complaints","3840 44TH AVE, Sacramento, CA, 95824",38.512993,-121.464146
"138",31425975,"2/12/2016 3:21:47 PM","","Open","Graffiti","Graffiti Private Property","5365 DEWEY DR, Sacramento, CA, 95628",38.66296,-121.30855
"139",31426125,"2/12/2016 7:53:44 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","6420 COLETTE WAY, Sacramento, CA, 95660",38.68351,-121.366446
"140",31426144,"2/12/2016 10:19:51 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","3927 42ND ST, Sacramento, CA, 95820",38.539139,-121.457456
"141",31426204,"2/13/2016 10:02:28 AM","","Open","Graffiti","Graffiti - 108802","4100 SCRANTON CIR, Sacramento, CA, 95608",38.642523,-121.329432
"142",31426205,"2/13/2016 10:02:29 AM","","Open","Graffiti","Graffiti - 108799","4258 HACKBERRY LN, Sacramento, CA, 95608",38.64201,-121.332022
"143",31426206,"2/13/2016 10:02:30 AM","","Open","Graffiti","Graffiti - 108800","4183 SCRANTON CIR, Sacramento, CA, 95608",38.641917,-121.330556
"144",31426207,"2/13/2016 10:02:30 AM","","Open","Graffiti","Graffiti - 108804","5828 LOCUST AVE, Sacramento, CA, 95608",38.642441,-121.329088
"145",31426208,"2/13/2016 10:02:31 AM","","Open","Graffiti","Graffiti - 108805","5945 ADANA CIR, Sacramento, CA, 95608",38.64198,-121.327417
"146",31426211,"2/13/2016 10:10:20 AM","","Open","Graffiti","Graffiti - 108807","4243 MANZANITA AVE, Sacramento, CA, 95608",38.640935,-121.328
"147",31426212,"2/13/2016 10:12:07 AM","","Open","Graffiti","Graffiti - 108810","4141 MANZANITA AVE,Unit 120, Sacramento, CA, 95608",38.639538,-121.328033
"148",31426213,"2/13/2016 10:12:07 AM","","Open","Graffiti","Graffiti - 108808","4221 MANZANITA AVE, Sacramento, CA, 95608",38.640714,-121.328005
"149",31426214,"2/13/2016 10:12:07 AM","","Open","Graffiti","Graffiti - 108812","4141 MANZANITA AVE,Unit 130, Sacramento, CA, 95608",38.639538,-121.328033
"150",31426215,"2/13/2016 10:12:08 AM","","Open","Abandoned Vehicles","Abandoned Vehicle - 108809","4344 GREENHOLME DR,Unit 19, Sacramento, CA, 95842",38.669891,-121.362273
"151",31426216,"2/13/2016 10:12:10 AM","","Open","Graffiti","Graffiti - 108813","4141 MANZANITA AVE,Unit 140, Sacramento, CA, 95608",38.639538,-121.328033
"152",31426217,"2/13/2016 10:12:10 AM","","Open","Graffiti","Graffiti - 108814","4141 MANZANITA AVE,Unit 125A, Sacramento, CA, 95608",38.639538,-121.328033
"153",31426218,"2/13/2016 10:20:20 AM","","Open","Graffiti","Graffiti - 108816","4049 MANZANITA AVE, Sacramento, CA, 95608",38.638377,-121.328063
"154",31426219,"2/13/2016 10:20:20 AM","","Open","Graffiti","Graffiti - 108815","4049 MANZANITA AVE, Sacramento, CA, 95608",38.638377,-121.328063
"155",31426225,"2/13/2016 10:32:06 AM","","Open","Graffiti","Graffiti - 108817","5714 LOCUST AVE, Sacramento, CA, 95608",38.642474,-121.33146
"156",31426226,"2/13/2016 10:32:09 AM","","Open","Graffiti","Graffiti - 108819","4049 MANZANITA AVE, Sacramento, CA, 95608",38.638377,-121.328063
"157",31426233,"2/13/2016 10:42:10 AM","","Open","Graffiti","Graffiti - 108822","5724 CYPRESS AVE, Sacramento, CA, 95608",38.638904,-121.330471
"158",31426234,"2/13/2016 10:42:10 AM","","Open","Graffiti","Graffiti - 108824","5724 CYPRESS AVE, Sacramento, CA, 95608",38.638904,-121.330471
"159",31426235,"2/13/2016 10:42:10 AM","","Open","Graffiti","Graffiti - 108821","5801 CYPRESS AVE, Sacramento, CA, 95608",38.638898,-121.329942
"160",31426237,"2/13/2016 10:42:13 AM","","Open","Graffiti","Graffiti - 108826","5709 CYPRESS AVE, Sacramento, CA, 95608",38.638997,-121.33194
"161",31426238,"2/13/2016 10:42:13 AM","","Open","Graffiti","Graffiti - 108825","5710 CYPRESS AVE, Sacramento, CA, 95608",38.638996,-121.331915
"162",31426241,"2/13/2016 10:52:09 AM","","Open","Graffiti","Graffiti - 108830","4258 HACKBERRY LN, Sacramento, CA, 95608",38.64201,-121.332022
"163",31426242,"2/13/2016 10:52:09 AM","","Open","Graffiti","Graffiti - 108832","4258 HACKBERRY LN, Sacramento, CA, 95608",38.64201,-121.332022
"164",31426243,"2/13/2016 10:52:10 AM","","Open","Graffiti","Graffiti - 108827","5636 VALL CT, Sacramento, CA, 95608",38.64105,-121.33362
"165",31426244,"2/13/2016 10:52:12 AM","","Open","Graffiti","Graffiti - 108828","5645 VALL CT, Sacramento, CA, 95608",38.641197,-121.333482
"166",31426247,"2/13/2016 11:02:09 AM","","Open","Graffiti","Graffiti - 108834","5644 WINDING WAY, Sacramento, CA, 95608",38.647938,-121.333526
"167",31426248,"2/13/2016 11:02:10 AM","","Open","Graffiti","Graffiti - 108835","5736 WINDING WAY, Sacramento, CA, 95608",38.648065,-121.331637
"168",31426249,"2/13/2016 11:02:12 AM","","Open","Graffiti","Graffiti - 108833","4736 HIXON CIR, Sacramento, CA, 95608",38.650278,-121.337349
"169",31426250,"2/13/2016 11:10:20 AM","","Open","Graffiti","Graffiti - 108838","5746 WINDMILL WAY, Sacramento, CA, 95608",38.647901,-121.330471
"170",31426251,"2/13/2016 11:10:20 AM","","Open","Graffiti","Graffiti - 108839","5746 WINDMILL WAY, Sacramento, CA, 95608",38.647901,-121.330471
"171",31426253,"2/13/2016 11:12:04 AM","","Open","Graffiti","Graffiti - 108841","5801 WINDING WAY,Unit 1, Sacramento, CA, 95608",38.647937,-121.331016
"172",31426254,"2/13/2016 11:12:05 AM","","Open","Graffiti","Graffiti - 108840","5801 WINDING WAY,Unit 1, Sacramento, CA, 95608",38.647937,-121.331016
"173",31426255,"2/13/2016 11:12:05 AM","","Open","Graffiti","Graffiti - 108843","4625 MANZANITA AVE, Sacramento, CA, 95608",38.648227,-121.327779
"174",31426259,"2/13/2016 11:22:07 AM","","Open","Graffiti","Graffiti - 108847","4448 HACKBERRY LN, Sacramento, CA, 95608",38.645786,-121.331992
"175",31426287,"2/13/2016 1:32:11 PM","","Open","Graffiti","Graffiti - 108873","5001 BURNBRAE PL, Sacramento, CA, 95843",38.717886,-121.348217
"176",31426292,"2/13/2016 1:40:19 PM","","Open","Graffiti","Graffiti - 108874","6960 STANFORD OAK DR, Sacramento, CA, 95842",38.69179,-121.328125
